province,fsa,population_2016,lim_at_prevalence,lim_at_count,sac_rural_category,clc_rural_indicator,clc_rural_label,clc_low_income_indicator,clc_low_income_label,female,black,indigenous,unemployment_rate,youth_15_to_24,youth_15_to_29,french_speakers,french_first_official_language,immigrant
Nova Scotia,B1E,1564,0.195,305,3,0,Not Rural,1,Low Income,835,0,25,0.19399999999999998,190,265,30,15,10
Nova Scotia,B1G,1867,0.217,405,3,0,Not Rural,1,Low Income,1010,10,25,0.16899999999999998,195,275,40,10,25
Nova Scotia,B1H,9642,0.215,2050,3,0,Not Rural,1,Low Income,5000,25,370,0.185,1035,1505,245,65,75
Nova Scotia,B1J,969,0.11900000000000001,115,3,0,Not Rural,0,Not Low Income,485,0,50,0.23600000000000002,65,95,65,10,55
Nova Scotia,B1K,3049,0.107,325,3,0,Not Rural,0,Not Low Income,1515,10,120,0.19399999999999998,280,395,170,30,65
Nova Scotia,B1L,4905,0.078,380,3,0,Not Rural,0,Not Low Income,2515,40,145,0.102,560,775,380,65,150
Nova Scotia,B1M,1130,0.10300000000000001,115,3,0,Not Rural,0,Not Low Income,580,15,25,0.127,120,175,50,10,15
Nova Scotia,B1N,5705,0.25,1400,3,0,Not Rural,1,Low Income,3010,365,295,0.19399999999999998,690,1020,230,20,80
Nova Scotia,B1P,14296,0.25,3545,3,0,Not Rural,1,Low Income,7625,255,600,0.156,1615,2510,835,155,405
Nova Scotia,B1R,4318,0.095,410,3,0,Not Rural,0,Not Low Income,2275,15,200,0.129,480,680,375,105,100
Nova Scotia,B1S,8548,0.145,975,3,0,Not Rural,0,Not Low Income,4670,100,1200,0.127,900,1300,490,70,250
Nova Scotia,B1T,354,0.127,45,3,0,Not Rural,0,Not Low Income,170,0,10,0.25,25,40,5,0,10
Nova Scotia,B1V,6311,0.24,1490,3,0,Not Rural,1,Low Income,3340,25,250,0.20600000000000002,740,1025,175,20,40
Newfoundland and Labrador,A1G,5777,0.10400000000000001,595,1,0,Not Rural,0,Not Low Income,2995,25,225,0.086,615,1050,345,15,70
Newfoundland and Labrador,A1H,5493,0.037000000000000005,205,1,0,Not Rural,0,Not Low Income,2820,60,265,0.040999999999999995,565,875,585,40,110
Newfoundland and Labrador,A1K,12253,0.062,755,1,0,Not Rural,0,Not Low Income,6195,55,420,0.083,1315,1965,920,45,215
Newfoundland and Labrador,A1L,21376,0.057,1215,1,0,Not Rural,0,Not Low Income,10855,55,875,0.069,2280,3905,1505,55,255
Newfoundland and Labrador,A1M,8058,0.068,550,1,0,Not Rural,0,Not Low Income,4025,10,355,0.08,745,1130,705,30,235
Newfoundland and Labrador,A1N,22957,0.09,2055,1,0,Not Rural,0,Not Low Income,12005,145,810,0.077,2815,4340,1375,65,450
Newfoundland and Labrador,A1S,6142,0.09300000000000001,565,1,0,Not Rural,0,Not Low Income,3135,15,50,0.064,780,1130,380,10,45
Newfoundland and Labrador,A1A,30382,0.11,3290,1,0,Not Rural,0,Not Low Income,16000,435,780,0.083,3520,5450,2995,205,2580
Newfoundland and Labrador,A1B,19867,0.233,4510,1,0,Not Rural,1,Low Income,10110,525,815,0.11699999999999999,3915,6400,1905,135,1640
Newfoundland and Labrador,A1C,12712,0.243,3025,1,0,Not Rural,1,Low Income,6345,235,385,0.10300000000000001,1495,2995,1565,145,870
Newfoundland and Labrador,A1E,27115,0.171,4570,1,0,Not Rural,0,Not Low Income,14410,200,690,0.087,3135,5205,2120,135,1210
Newfoundland and Labrador,A1V,11698,0.121,1380,3,0,Not Rural,0,Not Low Income,6065,30,600,0.1,1270,1940,885,55,205
Newfoundland and Labrador,A1W,11209,0.07,780,1,0,Not Rural,0,Not Low Income,5715,20,295,0.096,1340,1920,905,35,200
Newfoundland and Labrador,A1X,15003,0.08900000000000001,1315,1,0,Not Rural,0,Not Low Income,7620,30,610,0.091,1585,2445,870,40,150
Newfoundland and Labrador,A2A,9610,0.142,1345,3,0,Not Rural,0,Not Low Income,5055,15,500,0.14800000000000002,1015,1450,470,15,205
Newfoundland and Labrador,A2H,26092,0.152,3870,3,0,Not Rural,0,Not Low Income,13535,60,6255,0.13,2970,4350,1215,95,485
Nova Scotia,B0J,39302,0.171,6605,4,1,Rural,0,Not Low Income,19945,150,1870,0.098,3345,4955,2755,570,2120
Nova Scotia,B1A,15937,0.245,3840,3,0,Not Rural,1,Low Income,8435,165,405,0.191,1740,2510,305,30,140
Nova Scotia,B1B,1196,0.155,185,3,0,Not Rural,0,Not Low Income,635,0,15,0.223,110,170,35,10,20
